"id_tweet","id_user","tweet"
"25818","308","pernah, sering malahh karna ak kek sering oleng gt loh ngerti ga sih? kek tiba tiba lemes trs jatoh gtu https://t.co/JqRIW1IaBj"
"25819","308","bisa https://t.co/sIsjv0PUyz"
"25820","308","jungkook jungwon sunghoon haechan ten taeyong mark https://t.co/9e20ZIcoP9"
"25821","308","gfriend everglow https://t.co/JRQPBZcPCv"
"25822","308","matii https://t.co/l7faOzbLKg"
"25823","308","tdk https://t.co/jfVgoam1JV"
"25824","308","bangtan https://t.co/E1uPZ9O1G0"
"25825","308","utk skrg ak lg pengen ke mall, pokonya kluar rumah 😭 sumpek bgt dirumah terus ga boleh keluar sampe berbulan bulan… https://t.co/VzuxyBq7E7"
"25826","308","laptopp https://t.co/Djsgd3xxBP"
"25827","308","online 🤺 https://t.co/WPGsxGPYbj"
"25828","308","everglow bon bon chocolat https://t.co/ShVjr5gPPY"
"25829","308","gamau makan, lidah ak pait https://t.co/YFyv0qshOB"
"25830","308","z 
yea sdh psti tau semua 😞👍🏻👍🏻 https://t.co/HyHffONsnD"
"25831","308","@vancouversung itu foto kapan deh kok ketekan gtu"
"25832","308","https://t.co/m0nYrL1Atw"
"25833","308","bule drimana 😔😔😔 https://t.co/eZ3pAdoYen"
"25834","308","blas whatsapp ku"
"25835","308","@heejakeist semangattt wwrrwewrweewrrr"
"25836","308","renjii ヽ(｡◕o◕｡)ﾉ. @vancouversung https://t.co/MESIDuk5K7"
"25837","308","@httpsjjhyun iy"
"25838","308","@kukkudoie iy"
"25839","308","ngerjain punya orang, agak kangen bljr bhs arab 😞😞 https://t.co/a23Vqxpc8J"
"25840","308","bucil tu kata dia bule kecil wkwk bule drimana anjggg heran"
"25841","308","kann di panggilnya bucil emg sialan"
"25842","308","AK MRASA BERGUNAAA HOHOHOOO https://t.co/lSSxbt9nCq"
"25843","308","@prutiest bgsttt 😭"
"25844","308","@prutiest enak ga sih bau bayi tuh 😞😞"
"25845","308","gemes"
"25846","308","@acantut iya ya 😞"
"25847","308","@iNomHee ahhaha"
"25848","308","@yappeonni omoci 😱😍🤔🤔"
"25849","308","RT @kukkudoie: @theacove bgm : ‘saatnya ku harus berubaAaaAAh,, i want to be a metgirl’"
"25850","308","@kukkudoie EGK JMET JG"
"25851","308","@iNomHee BULOL 😩"
"25852","308","@killuaida 😩"
"25853","308","@alnackerman gmn mau brenang kan ak lg coroncy"
"25854","308","@iNomHee OK THANK U SAYANG"
"25855","308","ap ak hrus brubah y 🤔🤔🤔 https://t.co/3RJkOJYNwm"
"25856","308","AP AK HRUS BRUBAH Y"
"25857","308","badan kecil, baju rata rata gamis semua, pke hijab panjang tp ya ga panjang bgt sih, trs ak slalu pke minyak telon,… https://t.co/sVVIxc07FX"
"25858","308","@tersunghoon 152 bgsat skli"
"25859","308","@tersunghoon /malu"
"25860","308","@iNomHee KAU WATCH KAT MANA"
"25861","308","RT @elkrenxkth: @theacove https://t.co/RorbMHVIf8"
"25862","308","@elkrenxkth jink open for susuripris"
"25863","308","cara tinggi gmn sih ak capek dibilang bocil terus"
"25864","308","@tersunghoon lucu bgt ga sih"
