"id_tweet","id_user","tweet"
"19630","238","tindak lanjut tiang pln hampir jebol , sdh beres semoga aman smuaaa aminnn https://t.co/1UgW0IwOLX"
"19631","238","tindak lanjut tanggul jebol hampir banjir 19/2 , dibikin tanggul sementara , tp smoga kedepan semua bisa diperbaiki… https://t.co/AsJHgDN6pA"
"19632","238","Tindaklanjut jalanan di klp gdg timur https://t.co/3rYVn15VQJ"
"19633","238","Gaskeunnn @fpdip_jakarta yuhuuu https://t.co/dSi1U9mlw0"
"19634","238","RT @fpdip_jakarta: Fraksi PDI Perjuangan melalui Ketua komisi D memanggil Pemprov DKI - @DinasSDAJakarta untuk mempertanggungjawabkan banji…"
"19635","238","Part 3  harusnya kuota petugas2 lapangan ditambah karena selain mengurangi pengangguran , faktanya di lapangan cont… https://t.co/fnsV6sxoP4"
"19636","238","Part 2 banyak sekali yg ingin melamar posisi ini setiap tahunnya , dan ternyata karena kontraknya adalah per tahun… https://t.co/uUNbjxNsfk"
"19637","238","Part 1 setelah sy cek ke biro perekrutan PJLP Penyedia Jasa Lainnya Perorangan untuk petugas biru ada di Sudin SDA… https://t.co/QT6Ry25qW0"
"19638","238","https://t.co/TQ7E2QQ38F"
"19639","238","https://t.co/SVTGGn7X30"
"19640","238","listrik nyala langsung geber pompa BGR semoga kelapa gading cilincing koja aman dan seluruh jakarta jg tdk banjir l… https://t.co/lHBieCqExh"
"19641","238","kordinasi dan monitor pompa 🙏🏻 https://t.co/U85vEfpTMM"
"19642","238","hujan gledek petir yaampun stay safe smua kordinasi dan monitor pompa , yg listrik mati pake jenset semoga aman https://t.co/niJXr7dJLK"
"19643","238","antisipasi banjir pomPaa ; kordinasi monitor siaga🙏🏻 #cikoding #KELAPAGADING #cilincing #koja https://t.co/LS7nWbsDAO"
"19644","238","antisipasi banjir kerukan kali , kordinasi monitor siaga🙏🏻 #cikoding #KELAPAGADING #cilincing #koja https://t.co/mXOMiQmlAV"
"19645","238","Musyawarah Rencana Pembangunan Musrenbang Tingkat Kecamatan Koja https://t.co/ZDf0Kc9H0H"
"19646","238","Musrenbang musyawarah rencana pembangunan tingkat kecamatan kelapa gading https://t.co/Mps8Xhm2rb"
"19647","238","kordinasi dan monitor pompa persiapan hujan prediksi bmkg di cikoding https://t.co/ASAn9VnBy8"
"19648","238","https://t.co/zZjro6WKAR"
"19649","238","https://t.co/scWrVB7g7Q"
"19650","238","RT @PDI_Perjuangan: Aksi konkret PDI Perjuangan membantu korban banjir dan bencana alam. Baguna semakin solid bergerak dalam mengatasi masa…"
"19651","238","Normalisasi wajib dilakukan segera  pemprov dki jakarta 🙏🏻 dan infrastruktur penanggulangan banjir jg diadakan sege… https://t.co/UZCHmyCI3l"
"19652","238","RT @fpdip_jakarta: Program naturalisasi yang digaungkan Gubernur DKI Jakarta Anies Baswedan semasa memimpin Jakarta 2017 lalu hingga saat i…"
"19653","238","https://t.co/eJTpQPQrIE trims atas kerja keras petugas biru dan sda jakut 🙏🏻 https://t.co/kVbBeYufzW"
"19654","238","https://t.co/RFQy8n9h2i https://t.co/G2oGFnKeNL"
"19655","238","https://t.co/dwxtoTkoE7 https://t.co/icG0Ptg48i"
"19656","238","monitor dan siaga untuk pompa , saluran , penampungan dan sampah2 yg menghambat aliran air https://t.co/0gndFgDcMu"
"19657","238","#PolitikHijau @PDI_Perjuangan https://t.co/2D3nX1hrqO"
