"id_tweet","id_user","tweet"
"25718","307","capricorns hmu https://t.co/uQ96Kjabue"
"25719","307","so true taehyun let's eliminate tall people https://t.co/5IGSKTTbxu"
"25720","307","my school life depends on U my oomfs"
"25721","307","@fumenaga YAYY thaank u"
"25722","307","@fumenaga thank you oomf God Bless u pls help me https://t.co/YVc21VpDiQ"
"25723","307","@eitasemie trigonometri 😓😓"
"25724","307","@fumenaga trigonometri 😓"
"25725","307","@eitasemie gk dimaafin"
"25726","307","@rfvai makasih 😓"
"25727","307","@fumenaga ak kls 10"
"25728","307","@zoephisticate tentang trigonometri 😥😥"
"25729","307","@kissypil trigonometri or smth"
"25730","307","siapa mau bantu uts mtk gue 😁😁"
"25731","307","RT @JlMlN420: no bc its really so comforting https://t.co/9lSASZNELI"
"25732","307","@nayzrlinx essai bor"
"25733","307","ya Allah besok mtk gw mau mengninggoy"
"25734","307","RT @cookiechochop: 아츠키타 https://t.co/1LBq27cB7Z"
"25735","307","WHY ARE MOAS GETTING BALD_!? &amp;?? &amp; https://t.co/hVn0rliTZ5"
"25736","307","@englishfess_ yes he's so tiny, mungil banget https://t.co/MngXteNDu3"
"25737","307","@KYUF1E that's so cute omg"
"25738","307","he's going thru it https://t.co/VJKBjPfidY"
"25739","307","pls who hurt him 😭😭 https://t.co/TLhKvZd8Hv"
"25740","307","who hurt him https://t.co/FWIPlfMGaD"
"25741","307","beomgyu i Love u"
"25742","307","@aquablueas HELP? &amp;?&amp;?"
"25743","307","give me some cheezy pickup lines"
"25744","307","so i had this fc https://t.co/KmjnChVP1R https://t.co/ToXF26e7z4"
"25745","307","soobin fc https://t.co/KmjnChVP1R"
"25746","307","i was a soobrangadan"
"25747","307","fun fact i made this fc before i became a solomon 😟
 https://t.co/vDZbhSkBrl"
"25748","307","@birusaurus its great to meet a fellow solomon too
 https://t.co/vDZbhSkBrl"
"25749","307","@englishfess_ are you kambing because you make my heart terombang ambing"
"25750","307","yes i am a part of taheyunism"
"25751","307","is this me 🤨 https://t.co/jpMS2scTPu"
"25752","307","just watch me rhythm hive I'll save up until i have340 gems"
"25753","307","i rlly thought I'd get at least one (1) season's greetings card"
"25754","307","im gonna piss my pants i hate this I JATE THIS https://t.co/9bQ4MaYcFd"
"25755","307","SHOULD'VE JUST BOUGHT THE PREMIUM CARD PACK SO I COULD GET AN R CARD ???? https://t.co/8IR3tRgUh8"
"25756","307","NOT WORTH MY 200 GEMS FUCK YOUUU U U U U"
"25757","307","can i say fuck rhythm hive"
"25758","307","i got scammed"
"25759","307","@TXTMenfesss hies"
"25760","307","im under ur bed https://t.co/EnAYYtgXkb"
"25761","307","@kwaminari SHE'S SO https://t.co/nyitphhypt"
"25762","307","RT @bobatyun: taehyun in beomjun's business pls hes curious little cat https://t.co/mVd8GZRxpp"
"25763","307","RT @taegyukr: everytime taehyun smiles the world heals https://t.co/VdkZofwavu"
"25764","307","RT @lgbtyun: tears in my eyes https://t.co/3fh4gtw0wk"
"25765","307","RT @littletyun: his cute little squeal https://t.co/Rqe0kLeY9w"
"25766","307","@BKGAUNTLETS iyaaa episode paling baru"
"25767","307","taegyu real i thought we were kidding ?$!&amp;::&amp;; https://t.co/LXrOVJ2Bq4"
"25768","307","@beomluvtyun why is he so obvious"
"25769","307","RT @strugglemoas: toy: *twerks*
txt: WORK WORK WORK WORK WORK 

 https://t.co/EQOzQDsSTD"
"25770","307","which is more sunshine, the actual sunshine or whatever the fuck taehyun has going on https://t.co/Ldbtw5XUhK"
"25771","307","you are my sunshine https://t.co/Ldbtw5XUhK"
"25772","307","i love you so much https://t.co/Ldbtw5XUhK"
"25773","307","im so devastated he is so small https://t.co/zBgxjzi28Q"
"25774","307","@HAIKYUUFESS aku"
"25775","307","@phantomhivves akak keia serem marah marah"
"25776","307","@phantomhivves ampun"
"25777","307","@MYACADEMIAFESS PLUS ULTRA !!"
"25778","307","@KUROTSUKIFESS TAG AKU FLIS"
"25779","307","like you could've just type a single ""hey"" instead of spamming me with p-s https://t.co/ylgr1FPrAn"
"25780","307","@nayzrlinx yep mau dipanggil jul atau kai gue tetep nyaut kok"
"25781","307","why did we normalize starting a conversation on text with a single ""p"""
"25782","307","RT @trejel_: crossover jjk x haikyuu!! (lagi-)
Suna rintarou as fushiguro Megumi. #sunarintarou #fushiguromegumi https://t.co/GPFIGfxzvS"
"25783","307","PAUSE NEW TO DO EPISODE"
"25784","307","@eitasemie https://t.co/SpTnMBIQut"
"25785","307","@birusaurus THE TAEGYU PIC ? &amp;?_!;&amp;;"
"25786","307","@HAIKYUUFESS suna freepass"
"25787","307","@nycnma apa aja senyamannya kamu aja"
"25788","307","can 25 march come faster pls i just wanna skip the week of suffering(exam) and see txt on my local TV instead https://t.co/6RZ2spSyIM"
"25789","307","@nycnma hayi"
"25790","307","@MACHICIOUS ngak inget kmu sp"
"25791","307","finally i found a thread https://t.co/igazAADYlu"
"25792","307","@eitasemie https://t.co/PozrO6r0zg"
"25793","307","like i mean if you wanna call me kai when i use jul as my dn that's okay too"
"25794","307","btw i often change my dn/name to jul/kai but you can call me whatever you want :)"
"25795","307","@swnaosa deep anjign gabisa ngetik"
"25796","307","@swnaosa is it even that deeo"
"25797","307","@tofutoji allahu"
"25798","307","@stfuzouie this gif is so hd?&amp;?&amp;?&amp;"
"25799","307","@tyunsradio ??-?&amp;?&amp;? KOK BISA"
"25800","307","RT @hermionyyye: URUTAN-URUTAN DALAM BELAJAR GRAMMAR BAHASA INGGRIS!

- a thread https://t.co/8jLPe3zfer"
"25801","307","@eitasemie gwe belom mandi"
"25802","307","ngetweet bahasa inggris sampe dikira orang luar sama mutual lu sendiri"
"25803","307","RT @spsn7hx9_: 【※オメガバース※】
お題箱よりオメガバースクロ月！

オメガバ感薄い気もしますが…😂ありがとうございました！ https://t.co/IbnUG0GrVg"
"25804","307","@eitasemie nanti makan dulu"
"25805","307","@sugaryxranpo yh nti"
"25806","307","@eitasemie an"
"25807","307","@kissypil low jhat"
"25808","307","@eitasemie ANJING AMI GUE KAGET ASLI GUE KIRA BENERAN JUMAT ?&amp;?&amp;!($)&amp;?_!#?"
"25809","307","@kissypil soalnya gue belom mandi dari Sabtu ra"
"25810","307","why's the pls in caps im"
"25811","307","@fumenaga WAAAA THANK U SM"
"25812","307","@eitasemie INI SENIN LO JGN BIKIN PANIK"
"25813","307","looking for more moa oomf PLS follow me back"
"25814","307","@eitasemie gue belom mandi dari Sabtu 😢"
"25815","307","@BKGAUNTLETS mager"
"25816","307","someone tell me to shower pls"
"25817","307","guys 😢😢"
