"id_tweet","id_user","tweet"
"14647","187","VIRAL VIDEO AZAN PAKAI TAMBAHAN “HAYYA ‘ALAL JIHAD” , USTAD MAAHER ANGKAT BICARA ! https://t.co/5iD6UZ0hCw"
"14648","187","MOHON DOANYA...🤲😭 https://t.co/IbubbkIhW7"
"14649","187","NIKITA MIRZANI TIDAK TAKUT NERAKA, USTADZ DR. TENGKU ZULKARNAIN : DIA MURTAD !!

Syukron @ustadtengkuzul https://t.co/4E071PSg94"
"14650","187","Cebong kena tampol Ustadz Maaher : “Loe Mau Adem Masuk Kulkas Sana, Tolol !” https://t.co/4HZFefUzAn"
"14651","187","@aRa_102020 Kalau Lonte dianggap mereka punya akhlaq. Makanya dibela..."
"14652","187","Dihadapan ibu2 &amp; anak2 kecil lagi ceramah nyebut2 “Ngaceng”. Opo pantes lambemu ngono Gus ?
Kyai lah kok cangkeme n… https://t.co/gv3TfTWRBd"
"14653","187","@N0N4m3_90 Hus, jangan berisik.

Buanglah Cebong Laknat Bangsat Keparat Pada Tempatnya."
"14654","187","TIDAK PERLU MARAH..

Saya secara pribadi mengucapkan ribuan terimakasih kepada Bpk Satpol PP &amp; bpk TNI yg telah mem… https://t.co/2TzVyZ1Wvx"
"14655","187","Kata Gus Miftah, Pengajian Yang Paling Menyenangkan Adalah Pengajian Dengan Lonte.

Berarti Gus Miftah ini Kyai Pec… https://t.co/5gZu1OLj2U"
"14656","187","@shaaquilaa Yang pasti, fungsi FPI bukan ngejagain Lonte."
"14657","187","@Karinbahary2 Habib Husein mana?"
"14658","187","@bejoluckuntung https://t.co/KnHfFfa5wI"
"14659","187","@Rizal_ireng https://t.co/QHltW3uyzv"
"14660","187","@RidhoAshd https://t.co/zcLzUmuNB1"
"14661","187","@nonisusann 😝"
"14662","187","@ikmayasa Kalau Ini Ada Akhlaq ya.?? https://t.co/pnElSePEAd"
"14663","187","@ikmayasa Kalau ini berakhlaq ? https://t.co/iq2EoR804z"
"14664","187","@kopiforyourhead Yg pasti ceramah,
Bukan Melonte.. https://t.co/edRXBcrrSQ"
"14665","187","@Rafiolarafioli Ya, Ustadz

Bukan Lonte. https://t.co/Axv7jl11JL"
"14666","187","@riini Kalau ini mencerminkan akhlaq Nabi Muhammad ngga ? https://t.co/ifkTvgl0a3"
"14667","187","@Sybillaaaaaa https://t.co/4q1qMwg8tQ"
"14668","187","@Piscesianzk https://t.co/mt7LvlqANh"
"14669","187","@bobwiratama Apa yg mau didelik..?? https://t.co/WDpjHBb6hV"
"14670","187","@AjiSukm63509662 Iya.. Beliau kecapean..."
"14671","187","@AiraAfniAmalia 😜🤪😅😁"
"14672","187","@alialhinduan4 MAMPUS!!!"
"14673","187","@riswan_tea Aamin.🤲"
"14674","187","@bulanswn @inisultanasli “Hai Nabi, berjihad-lah menumpas org2 kafir dan kaum munafiq itu dan BERSIKAP KERASLAH kpd… https://t.co/PY9bZcocOv"
"14675","187","@che_damayanti https://t.co/lioIyFkQVU"
"14676","187","@Zaxecuvibo1 Manusia kotor yg menghina Ulama pantas di hina."
"14677","187","@auudayy Ngeliat tutur kata gue yg keras &amp; kasar karena marah membela Ulama yg di hina, loe malu..

Tapi kalau ngel… https://t.co/RD9UBtTfOT"
"14678","187","@agussaputra_666 Kalau jadi religius membuatmu DIAM dan TAK MARAH ketika kehormatan Ulama pewaris Nabi dihinakan, m… https://t.co/aaCtXj7GYZ"
"14679","187","@ngapak_inside Tidak beradab kepada orang yang tidak beradab, adalah SEDEKAH !

By the way, kau pendukung PSK ya ?… https://t.co/vGXj39DSU1"
"14680","187","@lagak_boy @taufiqray17 Trus kalau ini layak? https://t.co/krydxGLiFi"
"14681","187","@Afriand13123265 https://t.co/MAS1UUvNGv"
"14682","187","@inisultanasli Loe mau adem ? Masuk Kulkas sana. Ngga usah dengerin ceramah gue! 

TOLOL.!! https://t.co/FKJHRvtwQA"
"14683","187","@FBonstone Seorang wanita yg baik dan terhormat tdk akan pernah menghina laki-laki seburuk apapun laki-laki itu.

K… https://t.co/8s39mswgwc"
"14684","187","@Aline_Yoana_Tan Dia Muslim tapi abal2... 

Kafir sejati lebih TERHORMAT daripada Muslim abal2 (zindiq munafiq). 

Hadanallah..🙏🤲"
"14685","187","@NikitaMirzani Sy jga baru tau ada seorang muslimah gayanya kayak lonte. Agamanya islam, pernah Umroh, tapi prilaku… https://t.co/qRzOxA1Idb"
"14686","187","@taufiqray17 Siap Komandan...🙏👍🤲🙂😉"
"14687","187","@NegeriDagelanz @HukumDan @NikitaMirzani Dalam perspektif Fiqih Islam, pelacur itu bukan dipenjara, tapi DIRAJAM. !… https://t.co/RxgNADaeHp"
"14688","187","@calonpamajikan Si Lonte Nikita Mirzani juga ngga pernah liat Habib Rizieq Shihab ‘Jual Obat’.."
"14689","187","@SuremetO Tukang jual obat jalanan jauh lebih mulia dan terhormat daripada lonte jalang penjual selangkangan."
"14690","187","@HukumDan Sampe ketemu di Petamburan..."
"14691","187","@Mylova211 @raihana_wiwieal https://t.co/ITZZmAtBwy"
"14692","187","@azwarpahreza 🤣😅"
"14693","187","@HukumDan Akun dia masih ada kok.  Ana bisa lihatnya.."
"14694","187","@HukumDan Peliharaan...  Payah. 🤣🙏"
"14695","187","@HukumDan 🤣🙏🤣🙏🤣🙏🤣"
"14696","187","@AhmadJapra7 @nahdlatululama Alah Ngeles.....

Kebiasaan Cebong udah kayak Bajai !"
"14697","187","@AhmadJapra7 Hadits Riwayat Bukhari dibilang Palsu.

GOBLOK LU TONG 😜"
"14698","187","@AhmadJapra7 Iya. Makanya saya langsung hapus.
Karena tau salah. Ngaku salah itu ksatria. Daripada kepergok Korupsi… https://t.co/iFkpDCWZYV"
"14699","187","@AhmadJapra7 @nahdlatululama Ah ngeles kau ah.😊🤣

Tadi kau bilang hadits riwayat imam bukhari hadits palsu. Begitu… https://t.co/lnfdUCioAY"
"14700","187","@masilhamcom Kata-kata sy kotor atau tidak, itu asumtif. kotor menurut asumsimu belum tentu menurut asusmi org lain… https://t.co/o4i1hzUez5"
"14701","187","@Hauptmann__ Org hina Nabi Muhammad, itu salah besar. Sanksinya DIBUNUH menurut Fiqih islami. Siapa yg berhak membu… https://t.co/PbbPjfGxy4"
"14702","187","@AhmadJapra7 Tdk perlu jadi Kyai apalagi dianggap “wali” kalau Al-Qur’an saja disebut kitab Porno.

Sabda Nabi yg b… https://t.co/Ncd84VRXpP"
"14703","187","@masilhamcom Penista Nabi Muhammad dibunuh saja halal (dlm perspektif fiqih islam), apalagi cuman di caci maki deng… https://t.co/G2dcvDN1I8"
"14704","187","@AhmadJapra7 Kalau hakimnya semisal Ahok atau Jokowi, ya sampai kiamat penista Nabi tdk akan dihukum mati.

Makanya… https://t.co/pIwsUB1f3e"
"14705","187","@Maulana12556381 Kurma ajwah tiap pagi 7 butir."
"14706","187","@Farida_2putri Pengen Batuk Takut Gimanaa gituu
😆😅"
"14707","187","@namalim Aamiin Yaa Rabb...🤲🤲"
"14708","187","@Ieu37753476Saha https://t.co/kYbcPKdN33"
"14709","187","@Lose_streak21 @demoCRAZY_id Ngga..."
"14710","187","@akun_natlus Aha do ? 😆"
"14711","187","@ANUS4nt4r4 Semua gerakan islam..
Yang masuk Surga cuman dia.."
"14712","187","@HukumDan 🤣😁🤣😁🤣😁"
"14713","187","@AnakSurau2 Alah taik kucing. Banyak bacot

Lu mau NGEBACOT sama gue ya jgn sembunyi dibalik akun Bodong. Goblok. T… https://t.co/op8EBvyf7F"
"14714","187","@Rehatsejenak3 @HartoyoMdn https://t.co/yAHJ2mX0Jg"
"14715","187","@mul14 @AdeSudjatmiko 😆😅"
"14716","187","@DarmadiAktivis Youtube Official Kami. Dakwah Medsos"
"14717","187","@GoodFat03123626 Yang pasti sudah viral dan semua orang tau, aku jual parfum hasilnya ku bagikan ke Faqir miskin Da… https://t.co/fnEbt14azR"
"14718","187","@Holmes_NST Ahado Bodat ???!!!!"
"14719","187","@Harisaritonang Siap. Makasih saran dan teguranya. Sangat bermanfaat. 👍🙏

Semoga tak kena Razia krn saya tak menyeb… https://t.co/s9bMfYuqYG"
"14720","187","@ayah_neisha 😁"
"14721","187","@URaffa05 Ada lonte (pelacur) Komen disini, haha.. 😁

Eh tente lonte,  gue jual parfum HASILNYA dibagi2 Ke faqir mi… https://t.co/zMRFwLBR2C"
"14722","187","@AliImronRosyid2 Alaah preettttt 

Ngeles Lu !!"
"14723","187","@helenindiana_ Mau dingin dan sejuk ? 
Masuk Kulkas kau sana !! https://t.co/v0WgbbHEnZ"
"14724","187","@AliImronRosyid2 Aaaah, tapi gue Lu follow juga.,!! 

Pret lah! 

Bacot lu bau taik !! 😜 https://t.co/N3ZZdYds0x"
"14725","187","@arfi_nu @GunadiSitangga1 Yang gue maki binatang. Bukan org. 

Penista Agama, Kaum Murtad, Sekuler, Koruptor, Pengk… https://t.co/XgsyTNaFzA"
"14726","187","@GunadiSitangga1 Rasulullah memaki orang yang pantas di maki.. ! Ya sudah, makanya saya ngikutin Rasulullah. Kan be… https://t.co/R4bX8laa9N"
"14727","187","@GunadiSitangga1 Allah memaki Yahudi dg sebutan MONYET ! ( baca Qur’an , jgn kebanyakan nonton bokep) 

Rasulullah… https://t.co/6fizAXEbU2"
"14728","187","@PemburuDajjal07 😊😊 https://t.co/wW1Vdixd4v"
"14729","187","@ArpanPramuji https://t.co/MXa2duap1y"
"14730","187","@Alpacin22404216 OPM di papua bkn ranah BANSER utk bertindak, tpi ranah penegak hukum (POLRI).

Ok..

Lha trus ada… https://t.co/w48GVxmMra"
"14731","187","@Riri59727538 😅"
"14732","187","@PinggiranKholid Ngga Nanya !"
"14733","187","@adiy_elkandhawy @gilang_coffee 😁"
"14734","187","@MikoKo2308 😁"
"14735","187","@GunadiSitangga1 Hei Goblok !
Dlm hukum islam, penista agama hrs dipenggal. Jika tak mau dipenggal, ya jgn hina aga… https://t.co/fGaWtKtLlE"
"14736","187","@HukumDan Udah 80 ribu aja tuh Followers. 🤣🤣"
"14737","187","@Wahyuu_eko 😜 https://t.co/hrg9ahWyjZ"
"14738","187","@Qt_kata Mau lebih adem.?? 

Masuk kulkas sonoh !! https://t.co/IC5vYTIMZd"
"14739","187","@Arisaja92554396 Dalam islam, penista agama ya hukumnya di PENGGAL.

kalau ngga tau agama, belajar. Supaya ngga goblok.!"
"14740","187","@HGeolantika https://t.co/YCbx3YnMrY"
"14741","187","@Megadiah739 https://t.co/Gu96uixMJa"
"14742","187","@Alpacin22404216 “ustad bangsat” tapi kau Follow. 
😅🤣😜

Kan GOBLOK!! https://t.co/d7U1nkC9vT"
"14743","187","@retno_k13 https://t.co/TripQeNL2y"
"14744","187","@Lentera_Jiua Bapakmu seng Asu..  🤣
Bapakmu asu, mamakmu celeng.
#cebonglaknat!
😅"
"14745","187","@ShazliSetiawan Lha trus kenapa loe follow gue ? 

Yang tolol siapa?. https://t.co/OVROaeU9pU"
