"id_tweet","id_user","tweet"
"26118","311","kecewa."
"26119","311","giliran dibantuin, ok.
giliran diminta bantuan? gak ok."
"26120","311","percuma jadi orang baik."
"26121","311","capek nangis."
"26122","311","RT @edrielnacario: if it hurts, just sleep."
"26123","311","nyuruh org bersyukur, nyuruh org ceria, gampang.

cuma buat diri kita sendiri, susah."
"26124","311","pengen ngilang aja"
"26125","311","RT @xixixitolol: Jadi keinget, setahun yang lalu jam segini tuh masih rebahan dikasur, ketawa2, deeptalk, sharing sambil bercanda sama org…"
"26126","311","RT @bkandewipersik: Dunia percintaan itu antara berkorban atau jadi korban"
"26127","311","RT @singtiasu: Kebanyakan pake hati gini nih!"
"26128","311",":’("
"26129","311","https://t.co/21Nl7mZQCM"
"26130","311","RT @lilithkis: Sedih kok lama banget"
"26131","311","RT @hildong: anjinglah"
"26132","311","RT @remindersph: be proud on yourself for how hard you’re trying"
"26133","311","@alixxaar urusin https://t.co/kKqx6Yjwfb"
"26134","311","@fauzikmal @JUVENTIAR masakin indomie yar"
"26135","311","gua bingung sm truk2 yang mogok dijalan, ini uji KIR nya gimana? nyogok semua apa gimana"
"26136","311","udh jam segini aja."
"26137","311","anjing anjiiiijnnnnnngggg"
"26138","311","gua paling sebel, lg nelfon malah diajak ngobrol, buta ye ga liat gua lg ngapain?"
"26139","311","ada mimpi apa gua bacot banget masalah diet kayak dulu wkwkwk"
"26140","311","@peteerh lu blg iseng, iseng apaan belinya hp. sebel"
"26141","311","beratku tadi pagi 68.30 gaes, januari padahal sempat 70+. yey. bikin im coming"
"26142","311","atta ikat kepalanya bisa dicopot gak?"
"26143","311","@sepongbebb maaf ya, dengan berat hati, saya menolak.

gak liat apa itu Display Name saya seperti itu."
"26144","311","@sepongbebb gendut"
"26145","311","yatuhan ini gimana cuma 5 hari doang"
"26146","311","gua gasuka sayap. tp kalo gaada lagi, yauda deh gapapa"
"26147","311","pokoknya tahun ini harus rombak kamar ye. semuanye. segala lemari kita ganti. pokoknya harus keliatan luas"
"26148","311","RT @Jamie24272184: I ain’t never seen no shit like that before. https://t.co/AmGUNaLlvT"
"26149","311","akhirnya sepatan ada mcd, tapi percuma ai kan ga makan junkfood, makannya rumput."
"26150","311","@warkoprences HBD bapak"
"26151","311","@peteerh @AdliDidot wkwkwkwk gatau, gua mau ngakak aja😂😂😭😭"
"26152","311","@piohaha wqwq sama, aku juga:("
"26153","311","@hildong anying. skrg jamannya freshcare :("
"26154","311","@piohaha dulu kita fllw2an karena apa ya pio🧐"
"26155","311","@abidinkuy wkwkwkwk pernah mabok sampe cium closed"
"26156","311","@hildong wkwkwkw pasir ya, ngeri digigit semut ih kalo naked, kalo bengkak gimana ya"
"26157","311","@abidinkuy pernah ke jungleland sampe lokasi jam 4 sore, lalu hujan 😖😖"
"26158","311","@hildong mau naked ayo boleh tp jembud aku cukur dulu ah malu nanti nyangkut debu 😭🤣"
"26159","311","@abidinkuy BANGSAAAAAATRT MASIH INGET AJA 😭😭😭 wkwkwkwk"
"26160","311","@JUVENTIAR makan mcd di sevel salemba 😖"
"26161","311","@hildong 😭😭😭 nanti aku ke bali kita pake bikini ya hil"
"26162","311","dulu juga twitter ga ada ya akun2 buat jualan. atau promosi, atau apalah itu ya. cuma ada bacot2, poconggg, sama #teamfollowback"
"26163","311","dan alter skrg lebih parah kebangetan sih menurut gua. terlalu terbuka. cuma gimana ya. wkwkwk lanjutkan!"
"26164","311","lalu, bisa dibilang ini twtr ke dua gua, twtr alter lah kalo jaman skrg ya.
soalnya twtr pertama deact. syg banget 2012 tuh tweetnya 80rban."
"26165","311","@annisarn tinggal nunggu pada gendong anak🥺🥺"
"26166","311","paham gimana caranya nyari duit, kalo dulu kan cuma jadi beban keluarga ya wkwkwkwkwk"
"26167","311","lalu 2011 udh meet sm temen2 dr twitter. tukar pikiran. yang dulu masih pada smp dan sma. skrg udh pada kerja nyari… https://t.co/HuV3AD42nl"
"26168","311","terus pernah juga ke cirebon kerumah alm bagus, abis UN. meluncur sebulan gapulang2."
"26169","311","@peteerh matraman ya anjing wkwkwkwkwk ngakak banget :("
"26170","311","pernah juga 2013 megang uang cash 50rb, main naik busway gak pulang2 seminggu."
"26171","311","pernah bela2in pulang sekolah ke sevel salemba buat meet sama temen2 dari twitter, 2012. 

padahal rmh dan sekolah gua di jakbar."
"26172","311","@peteerh @piohaha rasanyaaaaaaaaaa, ah mantap"
"26173","311","eh btw, gua ga nyindir org ya. cuma pengen ngeluarin kata2 aja, namanya twtr ya, yg ada diotak ya keluarin aja ehe"
"26174","311","udah males ga sih pencitraan2 gitu, look harus bagus di sosialmedia, ya itu sih emang kesanangan lo ya pencitraan, cuma ya. uhm"
"26175","311","RT @bimoapm: Kebencian atas nama agama hanyalah ketakutan seseorang atas dirinya sendiri, jadi jangan pernah percaya :)"
"26176","311","seru banget diet ala gua.

apasih lu wkkwkwkwkwk"
"26177","311","RT @syahrulbelfort: Kalau diri sendiri belum bisa bermanfaat untuk orang lain, setidaknya jangan menyulitkan 👍🏼"
"26178","311","anker. bisa claim garansi. padahal beli april 2020. gokil :)"
"26179","311","hehehe https://t.co/f9ISnqy0sA"
"26180","311","@IndiHome CEK DM DONG SYG, JGN DIDIEMIN"
"26181","311","DJ LOKAL?"
"26182","311","@Ryansrd wkwkwkkw cuh 😭🤣"
