"id_tweet","id_user","tweet"
"321","26","@mojokdotco Pengen nyatir tapi malah keliatan goblok :')"
"322","26","@mass_bayyy @menteridigital @Annisadhln Di daerahku ngomongnya ""Temenan"" dong"
"323","26","@DekaManikKusumo @potretlawas @agama_nusantara Emang stabilitas negara itu apa bang?"
"324","26","@literatoer @keuraeji Paling nggak mau baca buku sih. Jadi cukup pinter buat gk main starter pack starter packan haha"
"325","26","@negara_rifky @Eno_Bening *sayens*"
"326","26","Untung belum update IG sama twitter"
"327","26","RT @TunaAsmaraaa_: @senjatanuklir Kalo berdo'a pada matahari apakah mba menggunakan puisi, karena anak senja suka bikin puisi"
"328","26","@bukuakik Nandi-nandi ketemune tonggo maneh. Nikmatnya menjadi mayoritas"
"329","26","@ulfahfitriy_ @pahlevirezaaaaa LEMAH"
"330","26","RT @txtdrmahasiswa: sebwah kolaborasi. https://t.co/ukh87SVqWY"
"331","26","RT @mardiasih: Awas Penyebaran Konten Intim Ilegal.

Thread in 10 slides.
1/10 https://t.co/FELHiTYNRJ"
"332","26","@henrysubiakto @nadinurh__ @narasitv Siap guru besar"
"333","26","@bukuakik @belummati_ Perjuanganku lebih mudah karena melawan penjajah, perjuangan kalian lebih berat karena melawan anaku sendiri :("
"334","26","@andihiyat Ngikut https://t.co/rTgBBgZghY"
"335","26","But, can we just stay alive?"
"336","26","Penasaran, di group WhatsApp keluarga cendana ada jokes tukang bakso bawa walkie talkie gak ya?"
"337","26","Orang yang kemarin ngomong,""Anak muda gausah sok sokan ngomongin politik"" hari ini ngucapin selamat hari sumpah pemuda"
"338","26","RT @biskuitkuu: ""KEMAMPUAN MENGENDALIKAN MIMPI (LUCID DREAM) ""

~A THREAD~"
"339","26","@hosa15 @ngabdul @arieparikesit @jokowi Adanya apa Pak?"
"340","26","Pengen jadi rahasia umum aja, separah apapun selalu dimaklumi"
