"id_tweet","id_user","tweet"
"10761","146","ayo zikir pagi sore. isinya tolak bala... keselamatan, perlindungan.

liat nih... kecelakaan di tol, kayak di Final… https://t.co/OyWj2M1QBc"
"10762","146","dzikir sorenya jangan lupa, buat yang belum tau bacaan-bacaannya bisa beli ini mumpung lagi diskon 85% harganya dar… https://t.co/Xwz032eURc"
"10763","146","Al-Kahfinya jangan kelewat nih, yuk baca bareng

https://t.co/OEBHIsZSrQ"
"10764","146","buat yang mau aja 3 buku kuliah umum harganya 22.800

https://t.co/091F21ZEc0

#Admin #AutoPost"
"10765","146","silakan buat yang mau beli dan baca aja #Admin #AutoPost https://t.co/EK3CDZWvGk"
"10766","146","Belajar Bareng Yusuf Mansur Amalan Yusuf Mansur Surat Al-Waqi'ah https://t.co/8G6zSaxLlr"
"10767","146","Yang belom baca ""Mencari Tuhan yang Hilang"" ini ada bentuk ebook/buku digitalnya, harganya cuma 16.500

#Admin… https://t.co/kxuzjMBhOt"
"10768","146","Makna Qur'an Surat Al-Baqarah Ayat 30 Belajar Bareng Yusuf Mansur https://t.co/JvfC8DJtgR"
"10769","146","Masih ingat kisah satpam yang dapat 17.500.000 (17,5 juta) alias 10,5 kali lipat dari sedekahnya yang 1.700.000 (1,… https://t.co/b85DW93STI"
"10770","146","Anak Penyelamat Akhirat Belajar Bareng Yusuf Mansur https://t.co/61gKFDfxf8 via @YouTube"
"10771","146","buat yang mau sukses aja #Admin #AutoPost

https://t.co/ZGxrA4pvai"
"10772","146","Hari Jum'at, jangan lupa Shalawat, Al-Kahfi jangan kelewat, silakan tulis shalawatnya, tulis doanya...

Silakan yah

https://t.co/OEBHIsZSrQ"
"10773","146","Abis Jum'atan kalau dulu di depan masjid liat2x ada yang jualan apa aja/makan di warung di depan, kalau sekarang cu… https://t.co/VHWagy0QiS"
"10774","146","Cahaya Al Kahfi https://t.co/R6mPexNcmL via @Yusuf_Mansur"
"10775","146","Lebih lengkapnya #Admin  #AutoPost https://t.co/XbBI2039KE"
"10776","146","Buat yang mau aja #Admin #AutoPost

https://t.co/jS4Fn152SD"
"10777","146","arrahmaan &amp; al faatihah. mangga tulis apa doanya. qobul insyaaAllah

https://t.co/ltUnwVYdHJ"
"10778","146","Sehari Bersama Santri Penghafal Quran https://t.co/UOSOzq7kM9"
"10779","146","Buat yang Suka Dakwah Coba Baca Ini https://t.co/5Xekvmxt28"
"10780","146","Setiap Perintah Allah dan Rasul Pasti Baik https://t.co/JQkdPxcp5e"
"10781","146","Ngaji Bareng Al-Kahfi Yuk! Belajar Bareng Yusuf Mansur https://t.co/0rWuMiYflV"
"10782","146","Recover lalu Grow Up dan Jangan Menyerah https://t.co/8L1YChS4ZY"
"10783","146","DICARI 5000 ANAK MUDA JAWA BARAT https://t.co/VV7IfYsdPk"
"10784","146","Jangan lupa SIT &amp; AYM ya...

https://t.co/Fr0sKxNdxE"
"10785","146","Ubah Hidup dengan Sholat Wajib dan Sunnah https://t.co/brW44sldnK"
"10786","146","Allah Akan Ganti Dengan Berlipat Kali Banyaknya https://t.co/yDx0n6ZnLo"
"10787","146","Kyai Abu Jibril Wafat Mari Doakan Beliau https://t.co/5YaAxfFPom"
"10788","146","Ketahanan Pangan Seperti Begini https://t.co/2YdLtIxCzH"
"10789","146","DICARI 100 WALI ASUH SANTRI TAKHASSUS https://t.co/R71Yu4AbXj"
"10790","146","Olimpiade Matematika dan Programming https://t.co/0fq0eKgLyE"
"10791","146","Abis Jum'atan kalau dulu di depan masjid liat2x ada yang jualan apa aja/makan di warung di depan, kalau sekarang cu… https://t.co/W4VLsPUMLm"
"10792","146","Abis Jum'atan kalau dulu di depan masjid liat2x ada yang jualan apa aja/makan di warung di depan, kalau sekarang cu… https://t.co/t0tIPx13vP"
"10793","146","Met Jum'at, Met Shalawat. Juga Al-Kahfinya Jangan Sampai Lewat.

https://t.co/oqBlAho3SV

#Admin #AutoPost"
"10794","146","Belajar Tentang Saham dari Lo Kheng Hong https://t.co/pGMv7YCK9H"
"10795","146","Dahsyatnya Sedekah

Jangan Takut dan Jangan Ragu untuk Sedekah https://t.co/8OIiPvoj2y"
"10796","146","Sedekah Subuh 

https://t.co/oR12QKsBWo"
"10797","146","Sebelum tidur jangan lupa Al-Mulknya, doain orang-orang yang sedang sakit, sedang tertimpa musibah, bencana, doain… https://t.co/Ihxe4G8Z2R"
"10798","146","Doain masyarakat sekitar Merapi dan semua masyarakat di semua pegunungan, pantai, laut, pebukitan, pertambangan, su… https://t.co/c6RErDSkVE"
"10799","146","Mungkin masih ada yang membutuhkan silakan serba 21.000

https://t.co/g333ITgn3d

#Admin #AutoPost"
"10800","146","Allah Akan Melipatgandakan Pembayaran https://t.co/oR12QKsBWo"
"10801","146","Doktor Bilal Philips Kena Covid Mohon Doanya https://t.co/JSnmAK5S14"
"10802","146","Ajak Dhuha Yang Lainnya Belajar Bareng Yusuf Mansur https://t.co/4h0DnPQXfv"
"10803","146","PPPA Daarul Qur’an Bergerak ke Sulawesi Barat https://t.co/Q3Ib6N7eVa"
