"id_tweet","id_user","tweet"
"11005","149","RT @MuzaniFadani: ""Jangan mengaku ummat nya Rasulullah, jika tidak menciptakan keamanan dalam suatu negara""

Gus Muwafiq"
"11006","149","https://t.co/V2lBNbYFg6"
"11007","149","Gus Muwafiq : Adakah Literatur Kuno yang Membahas Asal Usul Kata SANTRI?
https://t.co/2xh9GC91Xi

#GusMuwafiq https://t.co/ayiJnwNwRH"
"11008","149","@TifaFaizin Amiin"
"11009","149","HSN sudah lewat, tapi perjuang menjaga NKRI jangan sampai lewat dan telat. 

Saatnya kembali bertugas , Banser !!!… https://t.co/CToUUFJssu"
"11010","149","[Live now] https://t.co/xordKMlUaZ https://t.co/LB1X5JEhFC"
"11011","149","Gus Muwafiq merespon Fenomena Indonesia Hari Ini.

Semoga Indonesia diberikan keamanan. https://t.co/w1oGpkcKDZ"
"11012","149","Simak Keseruannya !!! Sak Silo Sowan Gus Muwafiq https://t.co/07CPvvcGhj via @YouTube 

#gusmuwafiq #caksilo… https://t.co/z4Of5Ervcs"
"11013","149","Aktifkan NSP Gus Muwafiq https://t.co/NXKYsHU0k5"
"11014","149","https://t.co/Dz3wMAbsde"
"11015","149","RT @NurAli92969020: Duet Gus Muwafiq dengan Gus Menteri. Cover Iwan Fals Sumbang. Selamat menikmati 😊🎧🎼 https://t.co/bmJB97u8eN"
"11016","149","Silahkan subscribe Youtube Channel #GusMuwafiq# di https://t.co/KcwzgMk6cZ dan https://t.co/W45YhAGVdm untuk mendap… https://t.co/67CQ787f6F"
"11017","149","Gus Muwafiq : Tahapan Pelajaran Rukun Islam Pada Awal Penebaran Islam di... https://t.co/rwqvNWcpEt via @YouTube"
"11018","149","Gus Muwafiq : Ummat Nabi Muhammad Punya Watak Tidak Membeda-Bedakan Anak... https://t.co/fxg7L4nJnp via @YouTube"
"11019","149","Gus Muwafiq: Ahlusunnah wal Jama'ah Menjembatani Orang yang Tidak Bertem... https://t.co/ibSd8HWc1k via @YouTube"
